xsltsourc, /home/juan/Source/freemind/freemind/main/Tools.java, 2
xsltscript, /home/juan/Source/freemind/freemind/main/Tools.java, 4
xsltfilenam, /home/juan/Source/freemind/accessories/plugins/ImportMindmanagerFiles.java, 4
xsltfile, /home/juan/Source/freemind/accessories/plugins/ImportMindmanagerFiles.java, 2
xslt, /home/juan/Source/freemind/freemind/modes/mindmapmode/MindMapMapModel.java, 2
xslch, /home/juan/Source/freemind/accessories/plugins/util/xslt/ExportDialog.java, 2
xslbutton, /home/juan/Source/freemind/accessories/plugins/util/xslt/ExportDialog.java, 5
xsl, /home/juan/Source/freemind/freemind/main/XHTMLWriter.java, 1
xsize, /home/juan/Source/freemind/freemind/view/mindmapview/EditNodeTextField.java, 8
xsdhandlerhierarchi, /home/juan/Source/freemind/de/foltin/CompileXsdStart.java, 6
xsdhandler, /home/juan/Source/freemind/de/foltin/CompileXsdStart.java, 32
xsd, /home/juan/Source/freemind/de/foltin/CompileXsdStart.java, 44
xpagecoord, /home/juan/Source/freemind/freemind/view/mindmapview/MapView.java, 2
xpadspr, /home/juan/Source/freemind/plugins/collaboration/jabber/view/SpringUtilities.java, 2
xpad, /home/juan/Source/freemind/plugins/collaboration/jabber/view/MapSharingWizardView.java, 8
xor, /home/juan/Source/freemind/tests/freemind/PrintGraphics.java, 2
xoffset, /home/juan/Source/freemind/freemind/view/mindmapview/EditNodeTextField.java, 3
xmlundoact, /home/juan/Source/freemind/plugins/collaboration/database/UpdateThread.java, 2
xmltopoint, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 2
xmltodat, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 2
xmltocolor, /home/juan/Source/freemind/freemind/common/ColorProperty.java, 1
xmltoboolean, /home/juan/Source/freemind/freemind/view/mindmapview/MapView.java, 4
xmltext2, /home/juan/Source/freemind/freemind/modes/NodeAdapter.java, 2
xmltext, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 5
xmlstring, /home/juan/Source/freemind/freemind/main/Tools.java, 2
xmlsourc, /home/juan/Source/freemind/accessories/plugins/ImportMindmanagerFiles.java, 2
xmlpluginfil, /home/juan/Source/freemind/freemind/modes/mindmapmode/hooks/MindMapHookFactory.java, 8
xmlparseexcept, /home/juan/Source/freemind/freemind/modes/ModeController.java, 3
xmlparent, /home/juan/Source/freemind/freemind/modes/mindmapmode/actions/NodeHookAction.java, 4
xmlpackedfil, /home/juan/Source/freemind/freemind/modes/mindmapmode/actions/RevertAction.java, 2
xmlnotetext, /home/juan/Source/freemind/freemind/modes/MindMapNode.java, 2
xmlmapcont, /home/juan/Source/freemind/freemind/modes/mindmapmode/MindMapController.java, 2
xmlmap, /home/juan/Source/freemind/freemind/modes/mindmapmode/actions/RevertAction.java, 2
xmlfilecont, /home/juan/Source/freemind/freemind/modes/mindmapmode/actions/RevertAction.java, 2
xmlfile, /home/juan/Source/freemind/accessories/plugins/util/xslt/XmlExporter.java, 2
xmlexport, /home/juan/Source/freemind/accessories/plugins/util/xslt/XmlExporter.java, 4
xmlelementadapt, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 7
xmlelement, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 12
xmldoaction, /home/juan/Source/freemind/plugins/collaboration/database/UpdateThread.java, 2
xmlbindingtool, /home/juan/Source/freemind/freemind/common/XmlBindingTools.java, 8
xmlactionperform, /home/juan/Source/freemind/freemind/modes/mindmapmode/actions/UndoAction.java, 2
xmlaction, /home/juan/Source/freemind/freemind/common/XmlBindingTools.java, 6
