term,count
shutdown,89
context,89
replaceal,88
back,88
clipboard,88
wheel,88
long,88
getcont,87
spinner,87
send,87
jcompon,86
marshal,86
cach,86
safeequ,86
illegalargumentexcept,86
hashset,85
graphics2d,85
getdoactionclass,85
paramet,84
undoact,84
iconnam,84
wizard,84
lat,83
descriptor,83
mapnodepositionhold,83
indic,83
encod,83
lon,82
addactionlisten,82
dispos,82
err,81
rect,81
handl,81
byte,80
getparentnod,80
filenam,80
amount,80
elementari,80
statu,80
init,79
recurs,79
present,78
throw,78
repaint,77
getfil,77
convert,77
paction,77
comp,76
oper,76
newnod,76
success,76
contributor,76
alt,75
escap,74
isvis,74
dotransact,74
menubar,74
configur,74
host,74
getx,73
unicod,73
viewport,73
client,73
given,72
nodechang,72
getmodecontrol,72
finest,72
getsiz,72
inputev,72
access,72
branch,71
constructor,71
userobject,70
remind,70
creator,70
mlisten,70
getsourc,70
screen,69
mfinalsecuritymanag,69
compoundact,68
jmenu,68
daychoos,68
perm,67
befor,67
simplecondit,67
follow,67
getcompon,67
hide,67
addit,66
absolut,66
enumer,66
temp,66
attributeregistri,66
geticon,65
jdialog,65
acceler,65
cut,64
geti,64
order,64
queue,64
getrowcount,63
three,63
chosen,63
descend,63
databas,63
getlabel,63
warn,63
startupmaphook,63
releas,63
actorxml,62
mouselisten,62
shortcut,62
adjust,62
win,62
preview,62
inner,61
stringproperti,61
entri,61
doe,61
parseint,61
exit,61
getpreferreds,61
dataflavor,61
master,61
freemindcommon,60
ptranslat,60
childrenunfold,60
assign,60
newvalu,60
bug,59
south,59
stringwrit,59
threecheckboxproperti,59
setlabelandmnemon,58
getpar,58
pageformat,58
tablemodel,58
precondit,58
tri,58
getkeystrok,58
delay,57
edgeadapt,57
texttransl,57
xmlparseexcept,57
part,57
runnabl,57
comment,57
mapmodulemanag,57
implement,56
getnodefromid,56
intern,56
getstyl,56
work,56
bean,56
indexof,56
getdescript,56
allow,56
underlin,56
getnodeid,56
linkedlist,56
match,56
feel,55
scan,55
edgestyl,55
histori,55
correct,55
renderinghint,55
nodeact,55
msg,55
jframe,55
pevent,55
addsepar,55
done,55
intvalu,55
pindex,55
block,55
declin,54
stringtoken,54
svalu,54
attributet,54
http,54
stop,54
setlayout,54
privat,54
xhtml,54
factor,54
instanci,54
align,53
mac,53
setbackground,53
distanc,53
antialia,53
mtabbedpan,53
nodetext,53
obj,53
newtext,53
arg1,53
getchildcount,53
getmapmodul,53
mychar,53
errormessag,53
noth,53
getactionfactori,52
symbol,52
setnod,52
coord,52
getkeycod,52
setfold,52
isfold,52
jscrollpan,52
focus,52
pname,51
fix,51
jpopupmenu,51
attr,51
navig,51
pmindmapcontrol,51
startswith,51
consum,51
decrypt,50
uniqu,50
second,50
actual,50
nodeattributetablemodel,50
addchild,50
settitl,50
selectedindex,50
val,50
getlinkregistri,50
mindmapmapmodel,50
expect,50
minimum,50
refresh,50
correspond,49
matcher,49
attributeview,49
milli,49
structuredmenuhold,49
unmarshal,49
pwidth,49
doc,49
treenodeinfo,48
oldselect,48
task,48
occur,48
don't,48
radio,48
skip,48
formatt,47
contentpan,47
gbc,47
getintattribut,47
determin,47
setsiz,47
booleanproperti,47
len,47
separatorproperti,47
exampl,47
revert,47
containskey,47
setmodel,47
sub,47
choos,46
pheight,46
showmessagedialog,46
automat,46
getel,46
constant,46
jtextfield,46
str,46
sorter,46
circl,46
divid,46
defaultvalu,46
pkey,46
getrootnod,45
getactionpair,45
shutdownmaphook,45
void,45
special,45
dtde,45
classpath,45
timeout,45
mutabl,45
hookfactori,45
bezier,45
g2d,45
fixm,45
charat,45
jcontentpan,45
normal,45
newmodecontrol,45
commun,45
semaphor,45
mbutton,45
short,45
pcommand,44
ask,44
getvalueat,44
isen,44
getadjustableproperti,44
xsd,44
getlat,44
mark,44
filefilt,44
menuitemselectedlisten,44
newmap,44
avail,44
innerbound,44
getmapmodulemanag,44
nodehold,44
getlon,43
limit,43
jcombobox,43
net,43
glue,43
getattributecontrol,43
getroot,43
differ,43
optionaldontshowmeagaindialog,43
gethook,42
newmapmodul,42
offset,42
getchildren,42
ret,42
elementtyp,42
orient,42
arraylist,42
cond,42
createactionpair,42
mindmaplink,42
chosenfil,42
getdoubleattribut,42
scheme,42
valueof,42
sharp,42
decod,42
springlayout,41
identifi,41
arg,41
rectangular,41
freemindfiledialog,41
pposit,41
subterm,41
newlyselectednodeview,41
mlist,41
notif,41
pref,41
lower,41
disabl,41
invalid,41
getedg,41
ignorecas,41
extra,40
reset,40
linear,40
basicstrok,40
refer,40
mapmodulechangeobserv,40
getmod,40
